word,Pos_x,wordCount_x,percent_of_total,Pos_y,wordavg,wordCount_y
schedule,NOUN,3,0.075,NOUN,0.21944444444444444,5
smartphone,NOUN,1,0.025,NOUN,0.053571428571428575,3
smooth,ADJ,1,0.025,ADJ,0.025,1
surface,NOUN,2,0.05,NOUN,0.10386996904024769,7
tangible,ADJ,1,0.025,ADJ,0.13993271221532091,6
task,NOUN,4,0.1,NOUN,0.17797619047619048,9
todo,ADJ,1,0.025,ADJ,0.075,2
top,NOUN,1,0.025,NOUN,0.025,1
track,NOUN,1,0.025,NOUN,0.17916666666666667,6
user,NOUN,2,0.05,NOUN,0.13707900244400323,28
width,NOUN,1,0.025,NOUN,0.025,1
bad,ADJ,1,0.03571428571428571,ADJ,0.03571428571428571,1
breathable,ADJ,1,0.03571428571428571,ADJ,0.03571428571428571,1
comfort,NOUN,1,0.03571428571428571,NOUN,0.03571428571428571,1
fabric,NOUN,1,0.03571428571428571,NOUN,0.03571428571428571,1
foam,NOUN,1,0.03571428571428571,NOUN,0.03571428571428571,1
goal,NOUN,1,0.03571428571428571,NOUN,0.06331168831168832,2
pillow,NOUN,5,0.17857142857142858,NOUN,0.26785714285714285,7
posture,NOUN,5,0.17857142857142858,NOUN,0.25595238095238093,6
sensor,NOUN,1,0.03571428571428571,NOUN,0.1788961038961039,5
smart,ADJ,2,0.07142857142857142,ADJ,0.14603174603174604,4
smartphone,NOUN,1,0.03571428571428571,NOUN,0.053571428571428575,3
soft,ADJ,1,0.03571428571428571,ADJ,0.02872670807453416,2
supportive,ADJ,1,0.03571428571428571,ADJ,0.03571428571428571,1
time,NOUN,1,0.03571428571428571,NOUN,0.18273809523809523,8
user,NOUN,4,0.14285714285714285,NOUN,0.13707900244400323,28
well,ADJ,1,0.03571428571428571,ADJ,0.03571428571428571,1
computer,NOUN,1,0.25,NOUN,0.10196256038647343,4
portable,ADJ,1,0.25,ADJ,0.18471177944862155,7
screen,NOUN,2,0.5,NOUN,0.23628117913832197,8
bumpy,ADJ,1,0.2,ADJ,0.2,1
desk,NOUN,1,0.2,NOUN,0.23555555555555557,5
portable,ADJ,1,0.2,ADJ,0.18471177944862155,7
ride,NOUN,1,0.2,NOUN,0.2,1
