Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
NOUN,2,101,0.4,NOUN,0.2833333333333334,4
NOUN,1,102,0.16666666666666666,NOUN,0.0728744939271255,3
NOUN,1,102,0.16666666666666666,NOUN,0.14814814814814814,3
NOUN,1,102,0.16666666666666666,NOUN,0.10086755349913243,5
NOUN,1,102,0.16666666666666666,NOUN,0.13786435786435786,21
NOUN,1,102,0.16666666666666666,NOUN,0.16666666666666666,1
NOUN,1,102,0.16666666666666666,NOUN,0.1638888888888889,3
NOUN,1,103,0.25,NOUN,0.1449074074074074,7
NOUN,1,103,0.25,NOUN,0.20833333333333331,2
NOUN,1,103,0.25,NOUN,0.29166666666666663,2
ADJ,1,103,0.25,ADJ,0.1607142857142857,2
NOUN,1,104,0.16666666666666666,NOUN,0.20833333333333331,2
